date,price,open,high,low,vol,change
04/14/18,8480,8538,8840,8260,875.64K,-0.68%
04/15/18,9000,8480,9045,8467,1.35M,6.13%
04/16/18,8862,9001,9089,8650,1.16M,-1.53%
04/17/18,9102,8862,9300,8811,1.05M,2.71%
04/18/18,9848,9102,9973,9100,1.32M,8.20%
04/19/18,10869,9848,10951,9796,2.21M,10.37%
04/20/18,12750,10869,12850,10869,2.85M,17.31%
04/21/18,11970,12750,12800,11000,2.67M,-6.12%
04/22/18,11990,11970,12507,11631,982.22K,0.17%
04/23/18,12140,11990,12200,11850,670.65K,1.25%
04/24/18,12749,12140,13102,12056,1.52M,5.02%
04/25/18,11085,12749,12780,10655,2.01M,-13.05%
04/26/18,11793,11085,11796,10658,1.46M,6.39%
04/27/18,11250,11793,11820,11250,1.72M,-4.60%
04/28/18,11796,11250,12125,11120,1.73M,4.85%
04/29/18,11849,11796,12300,11390,1.45M,0.45%
04/30/18,11580,11849,11875,11540,557.00K,-2.27%
05/01/18,11530,11600,11604,11111,1.09M,-0.43%
05/02/18,11759,11540,11957,11460,1.00M,1.99%
05/03/18,12041,11760,12150,11660,1.10M,2.40%
05/04/18,12224,12041,12779,11828,2.02M,1.52%
05/05/18,12497,12224,12779,12220,1.03M,2.23%
05/06/18,12107,12497,12706,11935,881.70K,-3.12%
05/07/18,11700,12107,12110,11386,704.83K,-3.36%
05/08/18,11570,11700,12084,11393,407.22K,-1.11%
05/09/18,11375,11570,11640,10910,478.11K,-1.69%
05/10/18,10888,11375,11500,10878,289.51K,-4.28%
05/11/18,9800,10888,10890,9241,1.67M,-9.99%
05/12/18,9850,9800,10129,9111,1.38M,0.51%
05/13/18,10549,9850,10667,9670,990.83K,7.10%
05/14/18,10380,10549,10641,9909,883.66K,-1.60%
05/15/18,10031,10380,10650,9950,497.71K,-3.36%
05/16/18,10150,10020,10150,9595,768.73K,1.19%
05/17/18,9510,10151,10180,9465,265.77K,-6.31%
05/18/18,9793,9510,9821,9310,251.59K,2.98%
05/19/18,9638,9793,9870,9600,177.85K,-1.58%
05/20/18,9876,9638,9949,9606,257.88K,2.47%
05/21/18,9724,9876,9943,9652,171.68K,-1.54%
05/22/18,9370,9724,9738,9370,245.12K,-3.64%
05/23/18,8699,9370,9435,8500,749.27K,-7.16%
05/24/18,9079,8699,9150,8510,490.04K,4.37%
05/25/18,8875,9079,9079,8655,486.43K,-2.25%
05/26/18,8850,8875,9087,8630,383.05K,-0.28%
05/27/18,8754,8850,8851,8675,214.78K,-1.08%
05/28/18,7850,8754,8754,7803,702.18K,-10.33%
05/29/18,8435,7850,8588,7802,508.69K,7.45%
05/30/18,8464,8482,8850,8130,709.61K,0.34%
05/31/18,8510,8464,8757,8205,1.31M,0.54%
06/01/18,8700,8510,8704,8417,319.77K,2.23%
06/02/18,8942,8700,9022,8650,644.45K,2.78%
06/03/18,9500,8943,9500,8942,513.33K,6.24%
06/04/18,9301,9500,9771,9000,1.25M,-2.09%
06/05/18,9462,9301,9600,9050,481.89K,1.73%
06/06/18,9450,9462,9602,9305,278.41K,-0.13%
06/07/18,9460,9450,9606,9403,218.71K,0.11%
06/08/18,9450,9460,9489,9239,418.84K,-0.11%
06/09/18,9426,9450,9527,9313,151.86K,-0.25%
06/10/18,8570,9426,9426,8325,1.23M,-9.08%
06/11/18,8617,8570,8801,8211,444.11K,0.55%
06/12/18,8053,8617,8618,7920,609.76K,-6.55%
06/13/18,7672,8053,8107,7436,767.40K,-4.73%
06/14/18,8097,7672,8247,7615,832.38K,5.54%
06/15/18,7801,8097,8099,7757,189.02K,-3.66%
06/16/18,7739,7801,7881,7632,307.69K,-0.79%
06/17/18,7645,7739,7823,7621,100.16K,-1.21%
06/18/18,7701,7647,7955,7444,165.42K,0.73%
06/19/18,7830,7701,8000,7630,198.56K,1.68%
06/20/18,7690,7830,7834,7525,156.12K,-1.79%
06/21/18,7684,7690,7890,7614,190.30K,-0.08%
06/22/18,7037,7684,7684,6880,597.23K,-8.42%
06/23/18,7020,6951,7189,6840,182.69K,-0.24%
06/24/18,6801,7045,7117,6400,595.78K,-3.12%
06/25/18,6900,6801,7020,6757,386.94K,1.46%
06/26/18,6600,6900,6940,6600,256.91K,-4.35%
06/27/18,6775,6600,6790,6512,316.21K,2.65%
06/28/18,6506,6775,6808,6506,172.54K,-3.97%
06/29/18,6502,6507,6666,6235,487.12K,-0.06%
06/30/18,6678,6502,6980,6502,396.44K,2.71%
07/01/18,6600,6678,6700,6500,195.21K,-1.17%
07/02/18,7010,6600,7085,6552,506.72K,6.21%
07/03/18,7110,7010,7500,6986,691.00K,1.43%
07/04/18,7169,7110,7367,6947,335.42K,0.83%
07/05/18,6967,7169,7264,6900,209.35K,-2.82%
07/06/18,6905,6967,7045,6751,153.81K,-0.89%
07/07/18,7014,6905,7050,6775,140.02K,1.58%
07/08/18,6939,7051,7070,6911,221.63K,-1.07%
07/09/18,6821,6939,7019,6800,273.78K,-1.70%
07/10/18,6495,6821,6850,6495,355.64K,-4.78%
07/11/18,6620,6495,6650,6495,164.45K,1.92%
07/12/18,6335,6620,6669,6280,147.80K,-4.31%
07/13/18,6380,6335,6500,6335,88.97K,0.71%
07/14/18,6391,6380,6450,6330,112.39K,0.17%
07/15/18,6492,6391,6557,6350,381.13K,1.58%
07/16/18,6859,6492,6859,6405,625.11K,5.65%
07/17/18,7125,6859,7253,6730,491.16K,3.88%
07/18/18,6900,7125,7344,6717,971.38K,-3.16%
07/19/18,6712,6900,6950,6615,959.14K,-2.72%
07/20/18,6552,6712,6741,6350,769.63K,-2.38%
07/21/18,6573,6552,6649,6450,509.22K,0.32%
07/22/18,6558,6573,6721,6552,357.19K,-0.23%
07/23/18,6550,6558,6744,6528,454.66K,-0.12%
07/24/18,6700,6550,6811,6450,712.23K,2.29%
07/25/18,6642,6700,6763,6558,385.75K,-0.87%
07/26/18,6550,6642,6800,6519,556.20K,-1.39%
07/27/18,6614,6550,6700,6485,377.11K,0.98%
07/28/18,6619,6614,6671,6539,144.03K,0.08%
07/29/18,6624,6619,6630,6565,116.19K,0.08%
07/30/18,6464,6624,6629,6372,314.14K,-2.42%
07/31/18,6395,6464,6500,6275,375.26K,-1.07%
08/01/18,6540,6395,6750,6261,682.78K,2.27%
08/02/18,6353,6540,6578,6323,251.41K,-2.86%
08/03/18,6469,6353,6540,6253,387.51K,1.83%
08/04/18,6325,6469,6519,6300,194.19K,-2.23%
08/05/18,6361,6325,6398,6304,107.62K,0.57%
08/06/18,6060,6361,6421,5903,321.06K,-4.73%
08/07/18,5559,6061,6125,5555,541.14K,-8.27%
08/08/18,4850,5559,5595,4764,853.27K,-12.75%
08/09/18,5066,4851,5275,4851,953.74K,4.45%
08/10/18,4732,5066,5100,4678,749.88K,-6.59%
08/11/18,4430,4732,4739,4257,612.81K,-6.38%
08/12/18,4389,4430,4564,4380,243.53K,-0.93%
08/13/18,4166,4389,4616,4098,893.23K,-5.08%
08/14/18,4045,4166,4166,3718,768.29K,-2.90%
08/15/18,4044,4045,4400,4044,710.14K,-0.02%
08/16/18,4272,4044,4410,4044,329.28K,5.64%
08/17/18,5298,4272,5380,4272,593.70K,24.02%
08/18/18,4776,5298,5345,4550,553.57K,-9.85%
08/19/18,4974,4776,5140,4679,368.82K,4.15%
08/20/18,4706,4974,5113,4689,463.25K,-5.39%
08/21/18,4909,4706,4989,4701,269.50K,4.31%
08/22/18,4750,4909,5124,4662,356.27K,-3.24%
08/23/18,4809,4750,4851,4710,215.57K,1.24%
08/24/18,4715,4809,4838,4620,303.71K,-1.95%
08/25/18,4772,4726,4800,4710,180.48K,1.21%
08/26/18,4700,4772,4772,4689,190.13K,-1.51%
08/27/18,4930,4702,4930,4702,158.94K,4.89%
08/28/18,5118,4930,5150,4907,674.43K,3.81%
08/29/18,5002,5118,5130,4910,310.26K,-2.27%
08/30/18,4876,5002,5030,4750,189.00K,-2.52%
08/31/18,4903,4928,4965,4825,169.74K,0.55%
09/01/18,5037,4903,5115,4880,331.83K,2.73%
09/02/18,4980,5060,5060,4911,227.30K,-1.13%
09/03/18,4917,4980,4982,4888,269.45K,-1.27%
09/04/18,4911,4917,5040,4875,326.82K,-0.12%
09/05/18,4220,4911,4965,4220,1.21M,-14.07%
09/06/18,4532,4220,4634,4000,1.09M,7.39%
09/07/18,4387,4532,4571,4301,380.91K,-3.20%
09/08/18,4223,4387,4450,4100,294.39K,-3.74%
09/09/18,4210,4223,4374,4111,400.62K,-0.31%
09/10/18,4090,4210,4275,4000,306.80K,-2.85%
09/11/18,4000,4090,4194,3889,324.78K,-2.20%
09/12/18,4031,4000,4097,3851,326.48K,0.78%
09/13/18,4177,4031,4219,4000,333.76K,3.62%
09/14/18,4110,4177,4215,4055,194.38K,-1.60%
09/15/18,4194,4110,4215,4080,256.30K,2.04%
09/16/18,4170,4194,4194,4102,164.33K,-0.57%
09/17/18,4101,4170,4208,4027,321.66K,-1.65%
09/18/18,4800,4101,5058,4070,1.62M,17.04%
09/19/18,4868,4800,5047,4647,1.23M,1.42%
09/20/18,6694,4868,7220,4773,3.85M,37.51%
09/21/18,8160,6694,11000,6300,11.65M,21.90%
09/22/18,8249,8188,9100,7110,6.12M,1.09%
09/23/18,8161,8249,8591,7995,1.66M,-1.07%
09/24/18,7260,8161,8349,7156,1.55M,-11.04%
09/25/18,7900,7260,8158,6605,3.25M,8.82%
09/26/18,7626,7900,8484,7321,4.59M,-3.47%
09/27/18,7921,7626,8110,7612,2.07M,3.87%
09/28/18,7950,7921,7960,7919,2.04M,0.37%
09/29/18,8464,7950,8777,7801,2.48M,6.47%
09/30/18,8680,8452,9197,8381,4.15M,2.55%
10/01/18,8630,8683,9000,8050,3.54M,-0.58%
10/02/18,7898,8630,8665,7880,1.98M,-8.48%
10/03/18,8015,7897,8185,7752,1.59M,1.48%
10/04/18,8015,8015,8308,7984,1.43M,0.00%
10/05/18,7873,8015,8037,7750,829.51K,-1.77%
10/06/18,7392,7873,7897,7153,1.77M,-6.11%
10/07/18,7301,7392,7450,7146,954.72K,-1.23%
10/08/18,7458,7301,7550,7291,1.44M,2.15%
10/09/18,7277,7458,7461,7178,750.42K,-2.43%
10/10/18,7039,7277,7277,7000,634.60K,-3.27%
10/11/18,5926,7039,7039,5895,1.92M,-15.81%
10/12/18,6460,5925,6899,5850,1.91M,9.01%
10/13/18,6466,6460,6600,6386,383.85K,0.09%
10/14/18,6243,6466,6569,6200,417.37K,-3.45%
10/15/18,6700,6243,6990,6127,2.05M,7.32%
10/16/18,7009,6700,7009,6660,852.47K,4.61%
10/17/18,7080,7009,7181,6900,830.88K,1.01%
10/18/18,6898,7079,7129,6702,868.34K,-2.57%
10/19/18,6881,6898,6905,6770,453.92K,-0.25%
10/20/18,6930,6881,7055,6824,427.09K,0.71%
10/21/18,6880,6930,7020,6838,264.31K,-0.72%
10/22/18,6836,6880,6905,6781,233.97K,-0.64%
10/23/18,6950,6836,7130,6625,772.60K,1.67%
10/24/18,6885,6950,7026,6821,378.68K,-0.94%
10/25/18,6923,6885,7033,6826,395.04K,0.55%
10/26/18,6978,6923,6991,6875,278.27K,0.79%
10/27/18,6905,6980,6980,6877,154.38K,-1.05%
10/28/18,6943,6905,6965,6900,119.90K,0.55%
10/29/18,6785,6943,6965,6656,573.90K,-2.28%
10/30/18,6832,6785,6857,6735,159.35K,0.69%
10/31/18,6887,6832,6970,6716,273.94K,0.81%
11/01/18,6910,6887,6940,6851,266.30K,0.33%
11/02/18,6906,6910,6997,6871,283.93K,-0.06%
11/03/18,6842,6906,6913,6832,153.07K,-0.93%
11/04/18,6973,6842,7080,6770,426.91K,1.91%
11/05/18,7399,6973,7449,6900,1.16M,6.11%
11/06/18,8136,7425,8307,7424,2.74M,9.96%
11/07/18,7845,8136,8139,7702,529.76K,-3.58%
11/08/18,7276,7845,7900,7259,616.22K,-7.25%
11/09/18,7400,7276,7632,7275,414.94K,1.70%
11/10/18,7521,7399,7550,7399,217.51K,1.64%
11/11/18,7456,7521,7521,7345,212.88K,-0.86%
11/12/18,7700,7456,7849,7440,595.40K,3.27%
11/13/18,7554,7700,7799,7510,457.87K,-1.90%
11/14/18,7022,7554,7578,6477,1.42M,-7.04%
11/15/18,7200,7022,7267,6400,1.19M,2.53%
11/16/18,7007,7200,7340,6949,507.03K,-2.68%
11/17/18,7255,7007,7396,6931,433.75K,3.54%
11/18/18,7534,7255,7750,7238,893.92K,3.85%
11/19/18,7050,7534,7534,6906,903.30K,-6.42%
11/20/18,6270,7050,7319,5890,2.01M,-11.06%
11/21/18,6601,6270,6700,5988,607.59K,5.28%
11/22/18,6171,6601,6603,6171,271.47K,-6.51%
11/23/18,5950,6171,6349,5823,782.11K,-3.58%
11/24/18,5650,5950,6100,5600,769.42K,-5.04%
11/25/18,5450,5650,5690,4700,2.01M,-3.54%
11/26/18,5278,5451,5695,5000,931.74K,-3.16%
11/27/18,5318,5278,5533,5103,448.53K,0.76%
11/28/18,5696,5318,5800,5317,815.45K,7.11%
11/29/18,5517,5696,5696,5410,644.47K,-3.14%
11/30/18,5290,5517,5600,5229,661.28K,-4.11%
12/01/18,5393,5290,5484,5210,305.55K,1.95%
12/02/18,5337,5393,5445,5308,226.54K,-1.04%
12/03/18,5093,5337,5373,5060,511.58K,-4.57%
12/04/18,5105,5093,5240,5019,417.71K,0.24%
12/05/18,4926,5130,5144,4911,524.75K,-3.51%
12/06/18,4464,4926,5059,4464,758.11K,-9.38%
12/07/18,4468,4464,4550,4292,765.27K,0.09%
12/08/18,4433,4468,4747,4340,371.59K,-0.78%
12/09/18,4523,4433,4690,4400,199.31K,2.03%
12/10/18,4420,4523,4582,4350,203.54K,-2.28%
12/11/18,4420,4420,4580,4360,339.97K,0.00%
12/12/18,4486,4420,4570,4420,276.23K,1.49%
12/13/18,4395,4486,4500,4336,198.28K,-2.03%
12/14/18,4245,4338,4398,4154,291.94K,-3.41%
12/15/18,4174,4245,4292,4102,175.95K,-1.67%
12/16/18,4191,4174,4328,4159,209.62K,0.41%
12/17/18,4793,4191,4949,4155,731.54K,14.36%
12/18/18,5100,4793,5100,4710,1.10M,6.41%
12/19/18,5070,5100,5681,4968,1.48M,-0.59%
12/20/18,5416,5060,5590,4953,1.30M,6.82%
12/21/18,5186,5416,5544,5133,1.09M,-4.25%
12/22/18,5241,5186,5275,5027,389.75K,1.06%
12/23/18,5399,5267,5535,5250,715.55K,3.01%
12/24/18,5903,5399,6538,5353,3.68M,9.34%
12/25/18,5706,5903,5904,5385,1.36M,-3.34%
12/26/18,5584,5706,5821,5355,674.15K,-2.14%
12/27/18,5027,5584,5587,4967,1.07M,-9.97%
12/28/18,5535,5027,5706,4967,1.09M,10.11%
12/29/18,5329,5535,5675,5329,651.42K,-3.72%
12/30/18,5400,5329,5490,5227,350.01K,1.33%
12/31/18,5167,5425,5453,5134,739.79K,-4.31%
01/01/19,5363,5174,5390,5138,589.72K,3.79%
01/02/19,5498,5363,5521,5300,674.26K,2.52%
01/03/19,5205,5498,5498,5161,429.77K,-5.33%
01/04/19,5189,5205,5267,5100,250.28K,-0.31%
01/05/19,5137,5189,5270,5135,357.57K,-1.00%
01/06/19,5250,5137,5334,5123,387.67K,2.20%
01/07/19,5190,5250,5350,5171,642.19K,-1.14%
01/08/19,5225,5190,5290,5165,653.64K,0.67%
01/09/19,5280,5225,5320,5196,327.93K,1.05%
01/10/19,4764,5280,5480,4600,1.46M,-9.77%
01/11/19,4770,4764,4890,4661,705.90K,0.13%
01/12/19,4775,4770,4873,4740,218.72K,0.10%
01/13/19,4570,4775,4845,4521,451.71K,-4.29%
01/14/19,4757,4570,4813,4560,360.64K,4.09%
01/15/19,4645,4757,4776,4585,297.89K,-2.35%
01/16/19,4668,4645,4759,4600,325.27K,0.50%
01/17/19,4680,4668,4716,4650,188.57K,0.26%
01/18/19,4594,4680,4695,4571,355.57K,-1.84%
01/19/19,4679,4594,4768,4594,190.24K,1.85%
01/20/19,4545,4679,4709,4518,260.22K,-2.86%
01/21/19,4560,4545,4650,4506,300.46K,0.33%
01/22/19,4567,4560,4600,4450,274.22K,0.15%
01/23/19,4510,4567,4585,4485,501.54K,-1.25%
01/24/19,4494,4510,4540,4464,336.77K,-0.35%
01/25/19,4450,4494,4530,4426,225.33K,-0.98%
01/26/19,4462,4450,4549,4430,522.81K,0.27%
01/27/19,4380,4462,4489,4350,207.50K,-1.84%
01/28/19,4145,4380,4380,4011,413.22K,-5.37%
01/29/19,4080,4145,4189,4004,460.41K,-1.57%
01/30/19,4494,4080,4555,4050,2.50M,10.15%
01/31/19,4335,4494,4710,4301,1.15M,-3.54%
02/01/19,4347,4335,4390,4173,396.00K,0.28%
02/02/19,4370,4347,4390,4288,131.39K,0.53%
02/03/19,4255,4370,4390,4210,369.77K,-2.63%
02/04/19,4235,4255,4288,4213,148.32K,-0.47%
02/05/19,4193,4235,4243,4177,230.17K,-0.99%
02/06/19,4108,4193,4229,4090,197.41K,-2.03%
02/07/19,4125,4107,4165,4100,125.46K,0.41%
02/08/19,4295,4125,4372,4074,592.40K,4.12%
02/09/19,4264,4295,4311,4207,218.35K,-0.72%
02/10/19,4220,4264,4264,4107,193.78K,-1.03%
02/11/19,4200,4220,4245,4146,197.09K,-0.47%
02/12/19,4211,4200,4250,4151,276.20K,0.26%
02/13/19,4266,4211,4370,4211,363.57K,1.31%
02/14/19,4241,4266,4298,4230,91.07K,-0.59%
02/15/19,4232,4241,4302,4212,166.25K,-0.21%
02/16/19,4232,4232,4262,4212,112.30K,0.00%
02/17/19,4265,4232,4266,4218,103.49K,0.78%
02/18/19,4460,4265,4597,4255,798.27K,4.57%
02/19/19,4444,4460,4790,4412,883.04K,-0.36%
02/20/19,4540,4444,4568,4380,211.77K,2.16%
02/21/19,4431,4540,4567,4408,313.69K,-2.40%
02/22/19,4520,4431,4529,4420,231.02K,2.01%
02/23/19,4680,4520,4720,4490,616.08K,3.54%
02/24/19,4300,4680,4838,4250,1.67M,-8.12%
02/25/19,4681,4290,4825,4280,1.14M,8.86%
02/26/19,4537,4681,4764,4500,1.38M,-3.08%
02/27/19,4450,4537,4550,4370,483.17K,-1.92%
02/28/19,4484,4450,4615,4412,520.21K,0.76%
03/01/19,4519,4484,4626,4480,402.88K,0.78%
03/02/19,4477,4520,4554,4452,152.31K,-0.93%
03/03/19,4440,4478,4506,4440,164.77K,-0.83%
03/04/19,4355,4440,4468,4300,252.27K,-1.91%
03/05/19,4498,4355,4520,4330,279.67K,3.28%
